County,Price,State
TEHAMA County,$3.990,CA
CONTRA COSTA County,$4.571,CA
YOLO County,$4.207,CA
EL DORADO County,$4.398,CA
SAN BENITO County,$4.554,CA
MARIN County,$4.431,CA
SUTTER County,$4.202,CA
SACRAMENTO County,$4.227,CA
PLACER County,$4.359,CA
ROUTT County,$3.703,CO
LARIMER County,$2.780,CO
WELD County,$2.705,CO
PHILLIPS County,$3.356,CO
BOULDER County,$2.780,CO
WASHINGTON County,$3.059,CO
CHEYENNE County,$2.786,CO
BOULDER County,$3.499,CO
GARFIELD County,$3.405,CO
MONTROSE County,$3.104,CO
DOLORES County,$3.259,CO
OURAY County,$3.427,CO
SAGUACHE County,$3.259,CO
LAS ANIMAS County,$2.803,CO
BACA County,$2.906,CO
LINCOLN County,$2.821,CO
KIOWA County,$2.616,CO
ELBERT County,$2.747,CO
PUEBLO County,$2.797,CO
CUSTER County,$2.999,CO
ALAMOSA County,$3.162,CO
TOLLAND County,$3.001,CT
HARTFORD County,$3.042,CT
MIDDLESEX County,$3.044,CT
NEW HAVEN County,$3.027,CT
KENT County,$2.884,DE
SUSSEX County,$2.854,DE
SANTA ROSA County,$2.895,FL
OKALOOSA County,$2.718,FL
WALTON County,$2.837,FL
WASHINGTON County,$2.856,FL
BAY County,$2.758,FL
CALHOUN County,$2.899,FL
FRANKLIN County,$2.941,FL
LEON County,$2.915,FL
JEFFERSON County,$3.149,FL
MADISON County,$3.130,FL
TAYLOR County,$2.898,FL
COLUMBIA County,$3.138,FL
GILCHRIST County,$3.104,FL
DUVAL County,$3.117,FL
SAINT JOHNS County,$3.138,FL
PUTNAM County,$3.122,FL
LEVY County,$3.176,FL
HILLSBOROUGH County,$3.168,FL
PINELLAS County,$3.163,FL
VOLUSIA County,$3.122,FL
LAKE County,$3.146,FL
ORANGE County,$3.146,FL
OSCEOLA County,$3.159,FL
PALM BEACH County,$3.255,FL
MIAMI DADE County,$3.161,FL
COLLIER County,$3.185,FL
CHARLOTTE County,$3.102,FL
BREVARD County,$3.133,FL
WHITFIELD County,$2.840,GA
LUMPKIN County,$2.928,GA
CHATTOOGA County,$2.840,GA
ELBERT County,$2.784,GA
LANIER County,$2.917,GA
SEMINOLE County,$2.889,GA
CALHOUN County,$2.999,GA
STEWART County,$3.004,GA
MUSCOGEE County,$2.828,GA
MARION County,$2.932,GA
CRAWFORD County,$3.149,GA
HEARD County,$3.069,GA
HARALSON County,$2.909,GA
JONES County,$2.987,GA
TREUTLEN County,$3.109,GA
CHATHAM County,$2.982,GA
EMANUEL County,$3.109,GA
JENKINS County,$2.866,GA
OCONEE County,$2.967,GA
LAURENS County,$2.834,GA
WHEELER County,$2.939,GA
WALKER County,$2.793,GA
RANDOLPH County,$2.919,GA
ECHOLS County,$2.999,GA
JACKSON County,$2.896,GA
TROUP County,$2.897,GA
BRYAN County,$2.910,GA
HARRIS County,$2.990,GA
IRWIN County,$2.941,GA
HANCOCK County,$2.890,GA
WAYNE County,$2.823,GA
DECATUR County,$2.822,GA
PULASKI County,$2.935,GA
HOUSTON County,$2.877,GA
PUTNAM County,$2.890,GA
WARREN County,$2.997,GA
DODGE County,$2.860,GA
WILKES County,$2.896,GA
WARE County,$2.766,GA
WILKINSON County,$2.853,GA
HONOLULU County,$4.474,HI
MAUI County,$4.620,HI
HAWAII County,$4.698,HI
BONNER County,$3.027,ID
SHOSHONE County,$3.379,ID
KOOTENAI County,$2.879,ID
BENEWAH County,$3.055,ID
LATAH County,$3.208,ID
CUSTER County,$3.461,ID
VALLEY County,$3.298,ID
WASHINGTON County,$3.157,ID
PAYETTE County,$3.048,ID
CANYON County,$2.995,ID
OWYHEE County,$3.163,ID
CUSTER County,$3.205,ID
LEMHI County,$3.082,ID
FREMONT County,$3.462,ID
MADISON County,$2.997,ID
BINGHAM County,$2.904,ID
GOODING County,$3.038,ID
LINCOLN County,$3.094,ID
CASSIA County,$2.954,ID
BLAINE County,$3.433,ID
CARIBOU County,$3.192,ID
FRANKLIN County,$2.965,ID
ONEIDA County,$2.895,ID
JEROME County,$2.985,ID
CAMAS County,$3.399,ID
JEFFERSON County,$3.014,ID
TETON County,$3.231,ID
ELMORE County,$3.039,ID
NEZ PERCE County,$3.254,ID
LEWIS County,$3.123,ID
BOUNDARY County,$2.931,ID
POWER County,$3.121,ID
BEAR LAKE County,$3.109,ID
BONNEVILLE County,$2.879,ID
STEPHENSON County,$3.073,IL
WINNEBAGO County,$3.113,IL
JO DAVIESS County,$3.161,IL
MCHENRY County,$3.074,IL
BOONE County,$3.156,IL
MCHENRY County,$3.068,IL
LAKE County,$3.068,IL
COOK County,$3.365,IL
KANE County,$3.082,IL
OGLE County,$3.026,IL
WHITESIDE County,$3.166,IL
LEE County,$3.194,IL
ROCK ISLAND County,$3.137,IL
BUREAU County,$3.176,IL
STARK County,$3.249,IL
HENRY County,$3.169,IL
WILL County,$3.091,IL
GRUNDY County,$3.085,IL
KANKAKEE County,$2.968,IL
IROQUOIS County,$3.097,IL
LIVINGSTON County,$3.121,IL
KNOX County,$3.015,IL
WARREN County,$3.099,IL
HANCOCK County,$3.312,IL
HENDERSON County,$3.077,IL
PIKE County,$3.030,IL
BROWN County,$2.999,IL
MASON County,$3.168,IL
LOGAN County,$3.154,IL
MACON County,$3.021,IL
CHAMPAIGN County,$3.008,IL
VERMILION County,$3.074,IL
CLARK County,$3.010,IL
CRAWFORD County,$3.000,IL
GREENE County,$3.130,IL
JERSEY County,$3.174,IL
RANDOLPH County,$3.222,IL
UNION County,$3.059,IL
ALEXANDER County,$3.499,IL
JACKSON County,$3.111,IL
PERRY County,$3.099,IL
FRANKLIN County,$2.986,IL
MARION County,$3.022,IL
BOND County,$3.025,IL
MONTGOMERY County,$3.046,IL
CHRISTIAN County,$2.967,IL
SCOTT County,$2.924,IL
WHITE County,$3.038,IL
HARDIN County,$2.999,IL
WABASH County,$2.984,IL
RICHLAND County,$2.719,IL
WILLIAMSON County,$2.890,IL
LAKE County,$2.819,IN
PORTER County,$2.884,IN
LA PORTE County,$2.861,IN
SAINT JOSEPH County,,IN
ELKHART County,$2.833,IN
LAGRANGE County,$2.920,IN
DE KALB County,$2.877,IN
NOBLE County,$2.867,IN
MARSHALL County,$2.884,IN
JASPER County,$3.018,IN
NEWTON County,$2.882,IN
BENTON County,$3.031,IN
CARROLL County,$3.090,IN
MIAMI County,$2.887,IN
ALLEN County,$2.822,IN
ADAMS County,$2.872,IN
WELLS County,$2.838,IN
JAY County,$2.866,IN
GRANT County,$2.906,IN
TIPPECANOE County,$2.922,IN
MONTGOMERY County,$2.806,IN
HAMILTON County,$2.909,IN
RANDOLPH County,$2.971,IN
DELAWARE County,$2.790,IN
HENRY County,$2.856,IN
FRANKLIN County,$2.966,IN
WAYNE County,$2.861,IN
DECATUR County,$2.697,IN
MORGAN County,$2.858,IN
VIGO County,$2.770,IN
DAVIESS County,$2.828,IN
GIBSON County,$2.853,IN
WARRICK County,$2.687,IN
PERRY County,$2.877,IN
JEFFERSON County,$2.778,IN
RIPLEY County,$2.983,IN
SWITZERLAND County,$2.866,IN
STEUBEN County,$2.764,IN
DICKINSON County,$2.649,IA
EMMET County,$2.696,IA
WINNEBAGO County,$2.839,IA
MITCHELL County,$2.851,IA
HOWARD County,$2.844,IA
WINNESHIEK County,$2.884,IA
ALLAMAKEE County,$2.899,IA
SIOUX County,$2.555,IA
CLAY County,$2.841,IA
KOSSUTH County,$2.679,IA
CERRO GORDO County,$2.715,IA
FLOYD County,$2.771,IA
HANCOCK County,$2.822,IA
CHICKASAW County,$2.910,IA
CLAYTON County,$2.897,IA
PLYMOUTH County,$2.547,IA
POCAHONTAS County,$2.699,IA
WRIGHT County,$2.756,IA
FRANKLIN County,$2.786,IA
BLACK HAWK County,$2.811,IA
BUCHANAN County,$2.892,IA
DUBUQUE County,$2.893,IA
CLINTON County,$2.816,IA
CEDAR County,$2.839,IA
MUSCATINE County,$2.832,IA
DES MOINES County,$2.786,IA
VAN BUREN County,$2.779,IA
MAHASKA County,$2.787,IA
WAYNE County,$2.729,IA
TAYLOR County,$2.639,IA
ADAMS County,$2.649,IA
CASS County,$2.529,IA
CRAWFORD County,$2.633,IA
BOONE County,$2.738,IA
BENTON County,$2.699,IA
BUCHANAN County,$2.888,IA
WOODBURY County,$2.530,IA
SHELBY County,$2.867,IA
JONES County,$2.868,IA
TAMA County,$2.862,IA
HARDIN County,$2.889,IA
RAWLINS County,$2.874,KS
PHILLIPS County,$2.889,KS
SMITH County,$2.769,KS
REPUBLIC County,$2.824,KS
WASHINGTON County,$2.677,KS
MARSHALL County,$2.645,KS
CLAY County,$2.669,KS
SALINE County,$2.527,KS
BARTON County,$2.770,KS
NEMAHA County,$2.676,KS
POTTAWATOMIE County,$2.582,KS
DICKINSON County,$2.539,KS
BROWN County,$2.655,KS
DONIPHAN County,$2.645,KS
SHERMAN County,$2.717,KS
THOMAS County,$2.569,KS
SHERIDAN County,$2.659,KS
ELLIS County,$2.772,KS
GRAHAM County,$2.759,KS
ROOKS County,$2.761,KS
RUSSELL County,$2.698,KS
PAWNEE County,$2.829,KS
RICE County,$2.764,KS
OSAGE County,$2.771,KS
WILSON County,$2.765,KS
HARPER County,$2.775,KS
CLARK County,$2.744,KS
HAMILTON County,$2.619,KS
HASKELL County,$2.611,KS
WALLACE County,$2.899,KS
LOGAN County,$2.719,KS
GREELEY County,$2.899,KS
RUSH County,$2.829,KS
PRATT County,$2.679,KS
RENO County,$2.375,KS
BUTLER County,$2.730,KS
BUTLER County,$2.701,KS
SEDGWICK County,$2.701,KS
CHEROKEE County,$2.559,KS
LINN County,$2.746,KS
JOHNSON County,$2.736,KS
ATCHISON County,$2.669,KS
LEAVENWORTH County,$2.536,KS
ANDERSON County,$2.529,KS
SUMNER County,$2.731,KS
CHAUTAUQUA County,$2.672,KS
HICKMAN County,$2.699,KY
GRAVES County,$2.499,KY
FULTON County,$2.534,KY
CALLOWAY County,$2.581,KY
CRITTENDEN County,$2.659,KY
UNION County,$2.684,KY
MUHLENBERG County,$2.751,KY
TRIGG County,$2.823,KY
WAYNE County,$2.744,KY
BUTLER County,$2.712,KY
BRECKINRIDGE County,$2.626,KY
NELSON County,$2.627,KY
SHELBY County,$2.701,KY
WOODFORD County,$2.891,KY
LETCHER County,$2.732,KY
LEWIS County,$2.782,KY
GRANT County,$2.800,KY
ESTILL County,$2.883,KY
KNOTT County,$2.732,KY
WASHINGTON County,$2.763,KY
WOODFORD County,$2.553,KY
FAYETTE County,$2.737,KY
BRACKEN County,$2.667,KY
FLOYD County,$2.584,KY
LAUREL County,$2.707,KY
BATH County,$2.692,KY
LAWRENCE County,$2.787,KY
PIKE County,$2.753,KY
LETCHER County,$2.859,KY
LESLIE County,$2.906,KY
JACKSON County,$2.764,KY
WOLFE County,$2.949,KY
ROWAN County,$2.699,KY
MCLEAN County,$2.632,KY
MARSHALL County,$2.635,KY
HART County,$2.641,KY
OLDHAM County,$2.777,KY
HENRY County,$2.767,KY
OWEN County,$2.839,KY
LIVINGSTON County,$2.719,KY
NICHOLAS County,$2.752,KY
MASON County,$2.804,KY
LEWIS County,$2.565,KY
CARTER County,$2.565,KY
ELLIOTT County,$2.799,KY
WEBSTER County,$2.625,KY
LARUE County,$2.756,KY
HARDIN County,$2.550,KY
POWELL County,$2.764,KY
LEE County,$2.994,KY
MORGAN County,$2.893,KY
CADDO County,$2.590,LA
BOSSIER County,$2.541,LA
WEBSTER County,$2.669,LA
UNION County,$2.605,LA
OUACHITA County,$2.503,LA
MOREHOUSE County,$2.583,LA
EAST CARROLL County,$2.759,LA
MADISON County,$2.699,LA
LINCOLN County,$2.520,LA
GRANT County,$2.774,LA
JEFFERSON DAVIS County,$2.821,LA
CAMERON County,$2.736,LA
POINTE COUPEE County,$2.830,LA
LAFOURCHE County,$2.814,LA
EAST FELICIANA County,$2.826,LA
PLAQUEMINES County,$3.108,LA
BEAUREGARD County,$2.699,LA
EVANGELINE County,$2.698,LA
SAINT MARTIN County,$2.789,LA
SAINT LANDRY County,$2.679,LA
WEST FELICIANA County,$2.930,LA
ST JOHN THE BAPTIST County,$2.797,LA
ASSUMPTION County,$2.859,LA
CAMERON County,$3.299,LA
ASSUMPTION County,$2.814,LA
SAINT TAMMANY County,$2.734,LA
SAINT BERNARD County,$2.602,LA
EAST BATON ROUGE County,$2.707,LA
CALDWELL County,$2.819,LA
LINCOLN County,$2.634,LA
FRANKLIN County,$3.124,ME
YORK County,$3.021,ME
OXFORD County,$3.081,ME
AROOSTOOK County,$3.054,ME
PENOBSCOT County,$3.088,ME
WALDO County,$3.020,ME
LINCOLN County,$3.022,ME
PENOBSCOT County,$3.048,ME
CUMBERLAND County,$3.039,ME
WASHINGTON County,$3.088,ME
SOMERSET County,$3.038,ME
ALLEGANY County,$3.223,MD
WASHINGTON County,$3.071,MD
CARROLL County,$2.913,MD
PRINCE GEORGES County,$2.965,MD
ANNE ARUNDEL County,$2.919,MD
BALTIMORE County,$2.916,MD
DORCHESTER County,$2.880,MD
SOMERSET County,$2.960,MD
CAROLINE County,$2.895,MD
MONTGOMERY County,$3.091,MD
CALVERT County,$3.129,MD
SAINT MARYS County,$3.142,MD
CHARLES County,$2.875,MD
WICOMICO County,$2.864,MD
GARRETT County,$3.308,MD
CECIL County,$2.891,MD
TALBOT County,$2.862,MD
WORCESTER County,$2.919,MD
QUEEN ANNES County,$2.862,MD
BERKSHIRE County,$3.061,MA
FRANKLIN County,$2.963,MA
HAMPSHIRE County,$3.009,MA
WORCESTER County,$3.028,MA
HAMPDEN County,$2.958,MA
ESSEX County,$3.063,MA
MIDDLESEX County,$3.077,MA
SUFFOLK County,$3.211,MA
BRISTOL County,$2.911,MA
PLYMOUTH County,$2.966,MA
BARNSTABLE County,$3.092,MA
DUKES County,$4.166,MA
ONTONAGON County,$3.049,MI
BARAGA County,$2.994,MI
IRON County,$2.984,MI
DELTA County,$2.975,MI
CHIPPEWA County,$3.112,MI
MACKINAC County,$3.260,MI
EMMET County,$2.961,MI
ALPENA County,$2.966,MI
KALKASKA County,$2.911,MI
BENZIE County,$2.997,MI
OSCODA County,$3.069,MI
OGEMAW County,$2.938,MI
OCEANA County,$2.774,MI
CLARE County,$2.737,MI
TUSCOLA County,$2.910,MI
SANILAC County,$3.006,MI
OAKLAND County,$3.017,MI
GENESEE County,$2.814,MI
SHIAWASSEE County,$2.854,MI
MONROE County,$2.886,MI
HILLSDALE County,$2.894,MI
KALAMAZOO County,$2.793,MI
CASS County,$2.931,MI
OTTAWA County,$2.828,MI
MASON County,$2.703,MI
WEXFORD County,$2.771,MI
MISSAUKEE County,$2.918,MI
CHARLEVOIX County,$3.106,MI
DICKINSON County,$2.782,MI
GOGEBIC County,$2.829,MI
HOUGHTON County,$2.847,MI
CRAWFORD County,$2.972,MI
LAPEER County,$2.901,MI
SAINT CLAIR County,$2.953,MI
SANILAC County,$2.938,MI
CALHOUN County,$2.898,MI
KITTSON County,$2.826,MN
ROSEAU County,$2.706,MN
KOOCHICHING County,$2.687,MN
SAINT LOUIS County,$2.804,MN
LAKE County,$2.883,MN
COOK County,$2.943,MN
PENNINGTON County,$2.495,MN
RED LAKE County,$2.679,MN
MAHNOMEN County,$2.799,MN
WILKIN County,$2.649,MN
WADENA County,$2.892,MN
STEVENS County,$2.832,MN
POPE County,$2.780,MN
MILLE LACS County,$2.906,MN
CHISAGO County,$2.860,MN
HENNEPIN County,$2.938,MN
CARVER County,$2.910,MN
LINCOLN County,$2.677,MN
NOBLES County,$2.792,MN
COTTONWOOD County,$2.899,MN
BROWN County,$2.756,MN
FARIBAULT County,$2.702,MN
STEELE County,$2.780,MN
DODGE County,$2.959,MN
LE SUEUR County,$2.816,MN
GOODHUE County,$2.807,MN
DAKOTA County,$2.847,MN
WABASHA County,$2.744,MN
HOUSTON County,$2.849,MN
FILLMORE County,$2.869,MN
WINONA County,$2.772,MN
MOWER County,$2.546,MN
WASECA County,$2.780,MN
FREEBORN County,$2.702,MN
JACKSON County,$2.842,MN
ROCK County,$2.626,MN
PIPESTONE County,$2.626,MN
YELLOW MEDICINE County,$2.883,MN
OTTER TAIL County,$2.895,MN
MORRISON County,$2.647,MN
HUBBARD County,$2.878,MN
CASS County,$2.718,MN
AITKIN County,$2.777,MN
CROW WING County,$2.685,MN
KANABEC County,$2.709,MN
RENVILLE County,$2.826,MN
RAMSEY County,$2.896,MN
BECKER County,$2.988,MN
BENTON County,$2.651,MS
ITAWAMBA County,$2.530,MS
KEMPER County,$2.751,MS
WILKINSON County,$2.939,MS
ADAMS County,$2.782,MS
WASHINGTON County,$2.672,MS
BOLIVAR County,$2.513,MS
CARROLL County,$2.743,MS
GREENE County,$2.769,MS
JACKSON County,$2.552,MS
HANCOCK County,$2.564,MS
COVINGTON County,$2.692,MS
AMITE County,$2.809,MS
NOXUBEE County,$2.919,MS
WINSTON County,$2.588,MS
MONTGOMERY County,$2.752,MS
CALHOUN County,$2.699,MS
PANOLA County,$2.487,MS
DE SOTO County,$2.560,MS
ALCORN County,$2.531,MS
HUMPHREYS County,$2.924,MS
CLARKE County,$2.796,MS
 County,,MS
CARROLL County,$2.832,MS
NESHOBA County,$2.763,MS
FRANKLIN County,$2.635,MS
CLAIBORNE County,$3.039,MS
WARREN County,$2.708,MS
TALLAHATCHIE County,$2.671,MS
LAFAYETTE County,$2.757,MS
PRENTISS County,$2.536,MS
OKTIBBEHA County,$2.606,MS
SCOTT County,$2.700,MS
JONES County,$2.859,MS
PERRY County,$2.859,MS
PEARL RIVER County,$2.515,MS
LAWRENCE County,$2.766,MS
WALTHALL County,$2.692,MS
PIKE County,$2.573,MS
JEFFERSON County,$2.699,MS
HOLMES County,$2.743,MS
LEAKE County,$2.565,MS
NESHOBA County,$2.656,MS
ATTALA County,$2.698,MS
SUNFLOWER County,$2.444,MS
LEFLORE County,$2.516,MS
NEWTON County,$2.763,MS
NODAWAY County,$2.663,MO
ATCHISON County,$2.914,MO
HARRISON County,$2.431,MO
PUTNAM County,$2.829,MO
MERCER County,$2.549,MO
SCOTLAND County,$2.799,MO
SCHUYLER County,$2.785,MO
CLARK County,$2.632,MO
MONROE County,$2.726,MO
KNOX County,$2.699,MO
SHELBY County,$2.707,MO
SULLIVAN County,$2.841,MO
DEKALB County,$2.589,MO
ANDREW County,$2.589,MO
HOLT County,$2.637,MO
PLATTE County,$2.649,MO
MACON County,$2.602,MO
LINN County,$2.765,MO
RANDOLPH County,$2.603,MO
SAINT CHARLES County,$2.758,MO
MARIES County,$2.759,MO
COOPER County,$2.524,MO
HOWARD County,$2.809,MO
COLE County,$2.811,MO
MONITEAU County,$2.800,MO
SAINT LOUIS County,$2.792,MO
WASHINGTON County,$2.596,MO
SAINT FRANCOIS County,$2.686,MO
SCOTT County,$2.802,MO
CAPE GIRARDEAU County,$2.698,MO
TEXAS County,$2.687,MO
HOWELL County,$2.687,MO
MISSISSIPPI County,$2.552,MO
NEW MADRID County,$2.628,MO
PEMISCOT County,$2.697,MO
BARRY County,$2.509,MO
NEWTON County,$2.505,MO
BARTON County,$2.512,MO
VERNON County,$2.488,MO
SAINT CLAIR County,$2.694,MO
DALLAS County,$2.541,MO
LINCOLN County,$2.868,MT
FLATHEAD County,$2.860,MT
GLACIER County,$2.986,MT
TOOLE County,$2.923,MT
LIBERTY County,$2.936,MT
HILL County,$2.888,MT
BLAINE County,$2.883,MT
PHILLIPS County,$2.926,MT
DANIELS County,$3.084,MT
VALLEY County,$2.929,MT
SHERIDAN County,$3.056,MT
ROOSEVELT County,$2.913,MT
GARFIELD County,$2.779,MT
DAWSON County,$2.818,MT
WIBAUX County,$2.919,MT
POWDER RIVER County,$3.049,MT
CUSTER County,$2.812,MT
CARTER County,$3.099,MT
BIG HORN County,$2.915,MT
TREASURE County,$2.829,MT
MUSSELSHELL County,$2.932,MT
YELLOWSTONE County,$2.790,MT
FERGUS County,$3.114,MT
GALLATIN County,$2.856,MT
PARK County,$2.908,MT
JEFFERSON County,$2.833,MT
MEAGHER County,$2.799,MT
CASCADE County,$2.778,MT
LEWIS AND CLARK County,$2.832,MT
RAVALLI County,$2.769,MT
BEAVERHEAD County,$3.007,MT
SANDERS County,$2.860,MT
MISSOULA County,$2.801,MT
SIOUX County,,NE
DAWES County,$2.891,NE
SHERIDAN County,$2.899,NE
BROWN County,$2.932,NE
ROCK County,$2.899,NE
BOYD County,$2.909,NE
KNOX County,$2.722,NE
PIERCE County,$2.631,NE
THURSTON County,$2.799,NE
BURT County,$2.749,NE
WASHINGTON County,$2.598,NE
CASS County,$2.631,NE
NEMAHA County,$2.689,NE
PAWNEE County,$2.689,NE
JOHNSON County,$2.529,NE
LANCASTER County,$2.684,NE
GREELEY County,$2.649,NE
FILLMORE County,$2.855,NE
THAYER County,$2.924,NE
CLAY County,$2.857,NE
KEARNEY County,$2.966,NE
BUFFALO County,$2.867,NE
CUSTER County,$2.999,NE
LINCOLN County,$3.074,NE
CHASE County,$3.099,NE
DUNDY County,$3.109,NE
RED WILLOW County,$2.885,NE
MORRILL County,$3.099,NE
SCOTTS BLUFF County,$2.986,NE
KIMBALL County,$3.069,NE
THOMAS County,$3.399,NE
GRANT County,$2.999,NE
LOGAN County,$2.864,NE
DAWSON County,$2.743,NE
MERRICK County,$2.885,NE
YORK County,$2.699,NE
LANCASTER County,$2.805,NE
WASHOE County,$4.118,NV
HUMBOLDT County,$3.469,NV
ELKO County,$3.283,NV
EUREKA County,$3.699,NV
PERSHING County,$3.711,NV
CHURCHILL County,$3.655,NV
DOUGLAS County,$3.441,NV
CARSON CITY County,$3.298,NV
MINERAL County,$3.905,NV
NYE County,$3.249,NV
LINCOLN County,$3.341,NV
CLARK County,$3.604,NV
WHITE PINE County,$2.778,NV
STOREY County,$3.772,NV
LYON County,$3.441,NV
COOS County,$3.073,NH
GRAFTON County,$3.064,NH
CARROLL County,$3.018,NH
ROCKINGHAM County,$2.881,NH
MERRIMACK County,$2.979,NH
CHESHIRE County,$2.857,NH
SULLIVAN County,$2.971,NH
HILLSBOROUGH County,$2.968,NH
BELKNAP County,$2.930,NH
SUSSEX County,$2.903,NJ
PASSAIC County,$2.963,NJ
MORRIS County,$2.942,NJ
ESSEX County,$3.020,NJ
ESSEX County,$2.955,NJ
SOMERSET County,$3.042,NJ
HUNTERDON County,$2.960,NJ
MERCER County,$2.930,NJ
MONMOUTH County,$2.951,NJ
OCEAN County,$2.941,NJ
BURLINGTON County,$2.888,NJ
ATLANTIC County,$2.898,NJ
CAPE MAY County,$2.963,NJ
CAMDEN County,$2.850,NJ
GLOUCESTER County,$2.885,NJ
CUMBERLAND County,$2.899,NJ
MORRIS County,$3.020,NJ
MCKINLEY County,$2.844,NM
RIO ARRIBA County,$2.598,NM
COLFAX County,$3.003,NM
UNION County,$2.699,NM
HARDING County,$3.569,NM
SANDOVAL County,$2.663,NM
LOS ALAMOS County,$2.849,NM
CIBOLA County,$2.740,NM
CATRON County,$3.254,NM
GRANT County,$2.887,NM
LUNA County,$3.030,NM
DONA ANA County,$2.742,NM
SIERRA County,$2.738,NM
LINCOLN County,$2.913,NM
CHAVES County,$2.520,NM
TORRANCE County,$2.835,NM
GUADALUPE County,$2.714,NM
COLFAX County,$3.569,NM
ROOSEVELT County,$2.665,NM
LEA County,$2.694,NM
EDDY County,$2.817,NM
HIDALGO County,$2.956,NM
QUAY County,$2.659,NM
CHAVES County,$2.734,NM
BERNALILLO County,$2.752,NM
TAOS County,$2.711,NM
MORA County,$2.841,NM
ORLEANS County,$3.239,NY
CLINTON County,$3.039,NY
FRANKLIN County,$3.235,NY
ESSEX County,$3.389,NY
HAMILTON County,$3.649,NY
HERKIMER County,$3.404,NY
JEFFERSON County,$3.137,NY
ONONDAGA County,$3.127,NY
ERIE County,$3.175,NY
WYOMING County,$3.230,NY
YATES County,$3.320,NY
SENECA County,$2.956,NY
ONEIDA County,$3.332,NY
TIOGA County,$3.232,NY
WASHINGTON County,$3.168,NY
WARREN County,$3.241,NY
HERKIMER County,$3.283,NY
FULTON County,$3.202,NY
SCHENECTADY County,$3.040,NY
GREENE County,$3.102,NY
COLUMBIA County,$3.114,NY
DUTCHESS County,$3.122,NY
DELAWARE County,$3.415,NY
CHEMUNG County,$3.105,NY
STEUBEN County,$3.248,NY
CATTARAUGUS County,$3.350,NY
CHAUTAUQUA County,$3.439,NY
ALLEGANY County,$3.296,NY
WESTCHESTER County,$3.324,NY
SULLIVAN County,$3.108,NY
ULSTER County,$3.049,NY
PUTNAM County,$3.130,NY
ORANGE County,$3.043,NY
NASSAU County,$2.987,NY
SUFFOLK County,$3.015,NY
QUEENS County,$3.096,NY
RICHMOND County,$3.133,NY
BRONX County,$3.152,NY
NEW YORK County,$3.263,NY
ALBANY County,$3.126,NY
OTSEGO County,$3.351,NY
CHENANGO County,$3.190,NY
CORTLAND County,$3.232,NY
